Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Wii Sports,Game: Wii Sports, Platform: Wii,29.02,3.77,41.49,8.46,82.74
Super Mario Bros.,Game: Super Mario Bros., Platform: NES,3.58,6.81,29.08,0.77,40.24
Mario Kart Wii,Game: Mario Kart Wii, Platform: Wii,12.88,3.79,15.85,3.31,35.82
Wii Sports Resort,Game: Wii Sports Resort, Platform: Wii,11.01,3.28,15.75,2.96,33
Pokemon Red/Pokemon Blue,Game: Pokemon Red/Pokemon Blue, Platform: GB,8.89,10.22,11.27,1,31.37
Tetris,Game: Tetris, Platform: GB,2.26,4.22,23.2,0.58,30.26
New Super Mario Bros.,Game: New Super Mario Bros., Platform: DS,9.23,6.5,11.38,2.9,30.01
Wii Play,Game: Wii Play, Platform: Wii,9.2,2.93,14.03,2.85,29.02
New Super Mario Bros. Wii,Game: New Super Mario Bros. Wii, Platform: Wii,7.06,4.7,14.59,2.26,28.62
Duck Hunt,Game: Duck Hunt, Platform: NES,0.63,0.28,26.93,0.47,28.31
Nintendogs,Game: Nintendogs, Platform: DS,11,1.93,9.07,2.75,24.76
Mario Kart DS,Game: Mario Kart DS, Platform: DS,7.57,4.13,9.81,1.92,23.42
Pokemon Gold/Pokemon Silver,Game: Pokemon Gold/Pokemon Silver, Platform: GB,6.18,7.2,9,0.71,23.1
Wii Fit,Game: Wii Fit, Platform: Wii,8.03,3.6,8.94,2.15,22.72
Wii Fit Plus,Game: Wii Fit Plus, Platform: Wii,8.59,2.53,9.09,1.79,22
Kinect Adventures!,Game: Kinect Adventures!, Platform: X360,4.94,0.24,14.97,1.67,21.82
Grand Theft Auto V,Game: Grand Theft Auto V, Platform: PS3,9.27,0.97,7.01,4.14,21.4
Grand Theft Auto: San Andreas,Game: Grand Theft Auto: San Andreas, Platform: PS2,0.4,0.41,9.43,10.57,20.81
Super Mario World,Game: Super Mario World, Platform: SNES,3.75,3.54,12.78,0.55,20.61
Brain Age: Train Your Brain in Minutes a Day,Game: Brain Age: Train Your Brain in Minutes a Day, Platform: DS,9.26,4.16,4.75,2.05,20.22
Pokemon Diamond/Pokemon Pearl,Game: Pokemon Diamond/Pokemon Pearl, Platform: DS,4.52,6.04,6.42,1.37,18.36
Super Mario Land,Game: Super Mario Land, Platform: GB,2.71,4.18,10.83,0.42,18.14
Super Mario Bros. 3,Game: Super Mario Bros. 3, Platform: NES,3.44,3.84,9.54,0.46,17.28
Grand Theft Auto V,Game: Grand Theft Auto V, Platform: X360,5.31,0.06,9.63,1.38,16.38
Grand Theft Auto: Vice City,Game: Grand Theft Auto: Vice City, Platform: PS2,5.49,0.47,8.41,1.78,16.15
Pokemon Ruby/Pokemon Sapphire,Game: Pokemon Ruby/Pokemon Sapphire, Platform: GBA,3.9,5.38,6.06,0.5,15.85
Pokemon Black/Pokemon White,Game: Pokemon Black/Pokemon White, Platform: DS,3.28,5.65,5.57,0.82,15.32
Brain Age 2: More Training in Minutes a Day,Game: Brain Age 2: More Training in Minutes a Day, Platform: DS,5.36,5.32,3.44,1.18,15.3
Gran Turismo 3: A-Spec,Game: Gran Turismo 3: A-Spec, Platform: PS2,5.09,1.87,6.85,1.16,14.98
Call of Duty: Modern Warfare 3,Game: Call of Duty: Modern Warfare 3, Platform: X360,4.28,0.13,9.03,1.32,14.76
Pokémon Yellow: Special Pikachu Edition,Game: Pokémon Yellow: Special Pikachu Edition, Platform: GB,5.04,3.12,5.89,0.59,14.64
Call of Duty: Black Ops,Game: Call of Duty: Black Ops, Platform: X360,3.73,0.11,9.67,1.13,14.64
Pokemon X/Pokemon Y,Game: Pokemon X/Pokemon Y, Platform: 3DS,4.05,4.34,5.17,0.79,14.35
Call of Duty: Black Ops 3,Game: Call of Duty: Black Ops 3, Platform: PS4,5.81,0.35,5.77,2.31,14.24
Call of Duty: Black Ops II,Game: Call of Duty: Black Ops II, Platform: PS3,5.88,0.65,4.99,2.52,14.03
Call of Duty: Black Ops II,Game: Call of Duty: Black Ops II, Platform: X360,4.3,0.07,8.25,1.12,13.73
Call of Duty: Modern Warfare 2,Game: Call of Duty: Modern Warfare 2, Platform: X360,3.63,0.08,8.52,1.29,13.51
Call of Duty: Modern Warfare 3,Game: Call of Duty: Modern Warfare 3, Platform: PS3,5.82,0.49,5.54,1.62,13.46
Grand Theft Auto III,Game: Grand Theft Auto III, Platform: PS2,4.51,0.3,6.99,1.3,13.1
Super Smash Bros. Brawl,Game: Super Smash Bros. Brawl, Platform: Wii,2.61,2.66,6.75,1.02,13.04
Call of Duty: Black Ops,Game: Call of Duty: Black Ops, Platform: PS3,4.44,0.48,5.98,1.83,12.73
Animal Crossing: Wild World,Game: Animal Crossing: Wild World, Platform: DS,3.52,5.33,2.55,0.88,12.27
Mario Kart 7,Game: Mario Kart 7, Platform: 3DS,3.91,2.67,4.74,0.89,12.21
Halo 3,Game: Halo 3, Platform: X360,2.83,0.13,7.97,1.21,12.14
Grand Theft Auto V,Game: Grand Theft Auto V, Platform: PS4,5.81,0.36,3.8,2.02,11.98
Pokemon HeartGold/Pokemon SoulSilver,Game: Pokemon HeartGold/Pokemon SoulSilver, Platform: DS,2.77,3.96,4.4,0.77,11.9
Super Mario 64,Game: Super Mario 64, Platform: N64,2.85,1.91,6.91,0.23,11.89
Gran Turismo 4,Game: Gran Turismo 4, Platform: PS2,0.01,1.1,3.01,7.53,11.66
Super Mario Galaxy,Game: Super Mario Galaxy, Platform: Wii,3.4,1.2,6.16,0.76,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Game: Pokemon Omega Ruby/Pokemon Alpha Sapphire, Platform: 3DS,3.37,3.08,4.23,0.65,11.33
Super Mario Land 2: 6 Golden Coins,Game: Super Mario Land 2: 6 Golden Coins, Platform: GB,2.04,2.69,6.16,0.29,11.18
Grand Theft Auto IV,Game: Grand Theft Auto IV, Platform: X360,3.1,0.14,6.76,1.03,11.02
Gran Turismo,Game: Gran Turismo, Platform: PS,3.87,2.54,4.02,0.52,10.95
Super Mario 3D Land,Game: Super Mario 3D Land, Platform: 3DS,2.99,2.13,4.89,0.78,10.79
Gran Turismo 5,Game: Gran Turismo 5, Platform: PS3,4.88,0.81,2.96,2.12,10.77
Call of Duty: Modern Warfare 2,Game: Call of Duty: Modern Warfare 2, Platform: PS3,3.69,0.38,4.99,1.63,10.69
Grand Theft Auto IV,Game: Grand Theft Auto IV, Platform: PS3,3.76,0.44,4.76,1.62,10.57
Super Mario All-Stars,Game: Super Mario All-Stars, Platform: SNES,2.15,2.12,5.99,0.29,10.55
Pokemon FireRed/Pokemon LeafGreen,Game: Pokemon FireRed/Pokemon LeafGreen, Platform: GBA,2.65,3.15,4.34,0.35,10.49
Super Mario 64,Game: Super Mario 64, Platform: DS,3.11,1.25,5.08,0.98,10.42
Just Dance 3,Game: Just Dance 3, Platform: Wii,3.15,0,6.05,1.07,10.26
Call of Duty: Ghosts,Game: Call of Duty: Ghosts, Platform: X360,2.63,0.04,6.72,0.82,10.21
Halo: Reach,Game: Halo: Reach, Platform: X360,1.98,0.08,7.03,0.78,9.88
Mario Kart 64,Game: Mario Kart 64, Platform: N64,1.94,2.23,5.55,0.15,9.87
New Super Mario Bros. 2,Game: New Super Mario Bros. 2, Platform: 3DS,3.07,2.47,3.66,0.63,9.82
Halo 4,Game: Halo 4, Platform: X360,2.36,0.04,6.63,0.73,9.76
Final Fantasy VII,Game: Final Fantasy VII, Platform: PS,2.47,3.28,3.01,0.96,9.72
Call of Duty: Ghosts,Game: Call of Duty: Ghosts, Platform: PS3,3.73,0.38,4.09,1.38,9.59
Just Dance 2,Game: Just Dance 2, Platform: Wii,2.89,0.01,5.84,0.78,9.52
Gran Turismo 2,Game: Gran Turismo 2, Platform: PS,3.42,1.69,3.88,0.5,9.49
Call of Duty 4: Modern Warfare,Game: Call of Duty 4: Modern Warfare, Platform: X360,2.38,0.13,5.91,0.9,9.32
Donkey Kong Country,Game: Donkey Kong Country, Platform: SNES,1.71,3,4.36,0.23,9.3
Minecraft,Game: Minecraft, Platform: X360,2.83,0.02,5.58,0.77,9.2
Animal Crossing: New Leaf,Game: Animal Crossing: New Leaf, Platform: 3DS,2.32,4.36,2.01,0.41,9.09
Mario Party DS,Game: Mario Party DS, Platform: DS,1.88,1.98,4.46,0.7,9.02
The Elder Scrolls V: Skyrim,Game: The Elder Scrolls V: Skyrim, Platform: X360,2.86,0.1,5.03,0.85,8.84
Super Mario Kart,Game: Super Mario Kart, Platform: SNES,1.24,3.81,3.54,0.18,8.76
FIFA 16,Game: FIFA 16, Platform: PS4,6.06,0.06,1.11,1.26,8.49
Wii Party,Game: Wii Party, Platform: Wii,3.53,2.49,1.79,0.68,8.49
Halo 2,Game: Halo 2, Platform: XB,1.53,0.05,6.82,0.08,8.49
Mario Party 8,Game: Mario Party 8, Platform: Wii,2.3,1.58,3.81,0.73,8.42
Pokemon Black 2/Pokemon White 2,Game: Pokemon Black 2/Pokemon White 2, Platform: DS,1.86,3.14,2.91,0.43,8.33
FIFA Soccer 13,Game: FIFA Soccer 13, Platform: PS3,5.05,0.13,1.06,2.01,8.24
The Sims 3,Game: The Sims 3, Platform: PC,6.42,0,0.98,0.71,8.11
GoldenEye 007,Game: GoldenEye 007, Platform: N64,2.01,0.13,5.8,0.15,8.09
Mario & Sonic at the Olympic Games,Game: Mario & Sonic at the Olympic Games, Platform: Wii,3.9,0.66,2.58,0.91,8.06
Final Fantasy X,Game: Final Fantasy X, Platform: PS2,2.07,2.73,2.91,0.33,8.05
Final Fantasy VIII,Game: Final Fantasy VIII, Platform: PS,1.72,3.63,2.28,0.23,7.86
Pokémon Platinum Version,Game: Pokémon Platinum Version, Platform: DS,1.78,2.69,2.82,0.55,7.84
Pac-Man,Game: Pac-Man, Platform: 2600,0.45,0,7.28,0.08,7.81
Grand Theft Auto: Liberty City Stories,Game: Grand Theft Auto: Liberty City Stories, Platform: PSP,2.83,0.24,2.9,1.75,7.72
Super Mario Galaxy 2,Game: Super Mario Galaxy 2, Platform: Wii,2.42,0.98,3.66,0.64,7.69
Star Wars Battlefront (2015),Game: Star Wars Battlefront (2015), Platform: PS4,3.29,0.22,2.93,1.23,7.67
Call of Duty: Advanced Warfare,Game: Call of Duty: Advanced Warfare, Platform: PS4,3.3,0.14,2.8,1.37,7.6
